event,id,chapter,kind,tin,tout,dur,track,rf_parent,status,asset,prompt
107,S99,CH.09,still,23:53,24:08,15,A,,PENDING,,"Two open hands cupped together in supplication, cropped at the forearms, held low against deep navy, one warm ochre light falling into the cupped palms. Nothing else in frame. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image. An empty prayer mat, a lamp at its head, seen from above in an otherwise dark room. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
108,S100,CH.09,still,24:08,24:23,15,A,,PENDING,,"A stone footbridge over a stream, entirely intact and well kept, nobody crossing it. Warm ochre low sun along the parapet, deep navy water beneath. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
109,S101,CH.09,still,24:23,24:39,16,A,,PENDING,,"Two oil lamps burning on opposite sides of a wide dark interior, a considerable distance apart, both alight, the space between them entirely deep navy. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
110,S102,CH.09,reframe,24:39,24:55,16,A,S101,REFRAME,,camera move on S101: Slow lateral drift from one lamp across the dark span toward the other.
111,S103,CH.10,still,24:55,25:10,15,A,,PENDING,,"A single large bird's wing, fully raised and extended upward, seen close against a pale cream sky — the wing only, the body of the bird outside the frame. Individual feathers rendered in loose ink line, warm ochre light through the translucent flight feathers, deep navy along the leading edge. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image. A length of heavy cloth held up high and taut like an awning against a pale cream sky, its underside in navy shadow. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
112,S104,CH.10,reframe,25:10,25:25,15,A,S103,REFRAME,,"camera move on S103: The same wing, now lowered and curved downward, its tip near the ground."
113,S105,CH.10,still,25:25,25:40,15,A,,PENDING,,"The lowered wing seen from the side, curved down and forward so that it fully covers a small woven nest on the ground beneath it, the nest almost entirely hidden in warm navy shadow. Pale cream sky above. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image. The lowered cloth forming a shelter over a sleeping mat and a folded blanket on the ground beneath. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
114,S106,CH.10,still,25:40,25:55,15,A,,PENDING,,"A woven awning being let down over a doorway from above, half lowered, warm ochre light narrowing on the step beneath it as it descends. Deep navy wall. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
115,S107,CH.10,still,25:55,26:10,15,A,,PENDING,,"A hand cropped at the wrist, cupped and held around a lamp flame to shield it from a draught — close to the flame but not touching it. Warm ochre light through the translucent edges of the fingers. Deep navy beyond. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image. A glass chimney being lowered over a bare lamp flame, the flame steadying as it descends. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
116,S108,CH.10,still,26:10,26:20,10,A,,PENDING,,"A blanket laid carefully over a sleeping form on a floor mat — the form entirely covered, no head, face, or limb visible, only the shape beneath the cloth. Warm ochre lamplight from low left, deep navy room. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
117,C9,CH.10,card,26:20,26:24,4,A,,TYPESET,,رَبِّ ارْحَمْهُمَا كَمَا رَبَّيَانِي صَغِيرًا
118,S109,CH.10,still,26:24,26:40,16,A,,PENDING,,"Two open hands raised together in supplication, cropped at the forearms, held against deep navy with one warm ochre light from above falling directly into the open palms. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image. A single lamp burning at the head of an empty prayer mat, seen low and close, the flame steady. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
119,S110,CH.10,reframe,26:40,26:55,15,A,S109,REFRAME,,camera move on S109: Hold and push in very slowly until the lit palms — or the flame — fill frame.
120,S111,CH.11,still,26:55,27:12,17,A,,PENDING,,"An empty stony road running through open country, with a low unmarked mound of earth and stones at its verge, and a wide horizon beyond. Completely unpopulated — no people, no animals, no structures, no figures of any kind. Pale cream sky, warm ochre low light along the ground, deep navy in the stones. Still and plain. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
121,S112,CH.11,reframe,27:12,27:27,15,A,S111,REFRAME,,"camera move on S111: Very slow push toward the horizon, the mound leaving frame at the lower edge."
122,S113,CH.11,still,27:27,27:42,15,A,,PENDING,,"Dry roadside grass bending in a light wind, close and low against a pale cream sky, the seed heads catching warm ochre light. Deep navy at the base of the stems. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
123,S114,CH.11,still,27:42,27:57,15,A,,PENDING,,"The first rain falling on dry cracked earth, close, the drops darkening the surface in scattered spots. Warm ochre light from a low sun catching the falling drops. Deep navy in the cracks. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
124,S115,CH.11,still,27:57,28:12,15,A,,PENDING,,"A single lit window in a wall at night seen from outside, warm ochre light falling from it onto the ground below, everything else deep navy. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
125,S116,CH.11,still,28:12,28:27,15,A,,HAVE,S116.jpg,"An open manuscript on a stand with a lamp beside it, the pages fully lit and the room dark around. Ink strokes suggested, never legible. Warm ochre across the open spread. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
126,S117,CH.11,reframe,28:27,28:42,15,A,S116,REFRAME,S116.jpg,camera move on S116: Push in on the lit page until the paper texture fills the frame.
127,S118,CH.11,still,28:42,28:57,15,A,,PENDING,,"A low table set for a meal with three places laid and one place left empty, the empty setting kept and clean. Warm ochre lamplight from above, deep navy at the edges of the room. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
128,S119,CH.11,still,28:57,29:12,15,A,,PENDING,,"Two open hands raised in supplication, cropped at the forearms, warm ochre light from above, deep navy behind. Held plainly, without drama. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image. The empty prayer mat and its lamp, seen straight on, the flame steady. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
129,S120,CH.11,still,29:12,29:28,16,A,,PENDING,,"A lamp still burning at dawn, its flame gone pale and thin against the growing cream daylight coming through a window behind it. Deep navy retreating from the room. Ink and watercolour illustration, visible pen linework in deep indigo-navy, loose translucent washes bleeding past the contour lines, dry-brush texture, warm cream parchment paper showing through. Restricted palette: deep indigo-navy, warm ochre, muted terracotta, olive-sage, bone white. One warm light source, deep navy shadow everywhere else. Hand-painted storybook plate, torn deckled paper edge. 16:9. No text, no lettering, no calligraphy in the image."
130,S121,CH.11,reframe,29:28,29:45,17,A,S48,REFRAME,,"camera move on S48: Return to the wide open plain from chapter 05, now at full sunrise, the horizon warm and the foreground clear. Hold to the end card."
